Date,High price,Low price,Closing price,Average price,Total volume,Turnover
2012-10-12,1064.79,1056.69,1058.70,,1,7210210737
2012-10-11,1069.02,1055.85,1065.34,,1,7664015369
2012-10-10,1072.34,1059.46,1061.55,,1,8311145299
2012-10-09,1084.17,1073.29,1073.66,,1,6980886109
2012-10-08,1087.97,1078.37,1079.91,,1,5890660637
2012-10-05,1098.72,1085.55,1093.54,,1,8407404766
2012-10-04,1085.11,1076.04,1083.09,,1,7704642717
2012-10-03,1084.20,1076.85,1080.24,,1,7348127038
2012-10-02,1090.01,1078.10,1084.97,,1,8424885444
2012-10-01,1086.64,1069.35,1085.14,,1,7536406934
2012-09-28,1088.54,1072.24,1072.45,,1,10549884812
2012-09-27,1091.35,1080.77,1083.62,,1,10630255003
2012-09-26,1097.09,1085.49,1088.16,,1,9071237569
2012-09-25,1106.07,1092.63,1105.73,,1,10966912100
2012-09-24,1100.12,1092.07,1099.73,,1,8262501442
2012-09-21,1106.41,1097.52,1099.89,,1,9916899666
2012-09-20,1102.68,1095.42,1100.23,,1,8487877357
2012-09-19,1108.53,1101.67,1106.43,,1,7760559851
2012-09-18,1105.76,1096.63,1100.98,,1,9545401388
2012-09-17,1112.65,1106.19,1108.53,,1,8938693584
2012-09-14,1119.19,1102.04,1114.98,,1,14827855272
2012-09-13,1086.71,1080.81,1086.30,,1,7916597309
2012-09-12,1087.95,1073.46,1085.76,,1,10706383973
2012-09-11,1076.64,1060.44,1076.57,,1,6915347358
2012-09-10,1073.31,1066.89,1067.57,,1,6078935310
2012-09-07,1074.83,1064.53,1070.87,,1,11136276835
2012-09-06,1063.74,1038.41,1058.45,,1,10485251168
2012-09-05,1040.74,1028.93,1038.13,,1,8361715752
2012-09-04,1050.25,1032.53,1035.74,,1,6637548665
2012-09-03,1052.75,1039.99,1049.52,,1,4692301251
2012-08-31,1048.27,1034.24,1043.93,,1,7438271549
2012-08-30,1044.23,1033.02,1038.38,,1,6700045707
2012-08-29,1050.58,1040.39,1045.73,,1,6347298250
2012-08-28,1059.68,1040.83,1040.83,,1,7900983342
2012-08-27,1065.55,1055.92,1065.55,,1,3905647116
2012-08-24,1059.12,1049.05,1058.58,,1,7057771191
2012-08-23,1072.85,1051.01,1055.17,,1,6237069490
2012-08-22,1077.09,1057.85,1061.80,,1,7477518449
2012-08-21,1086.29,1079.85,1085.07,,1,6495023913
2012-08-20,1093.74,1081.01,1084.06,,1,5103773551
2012-08-17,1092.60,1080.92,1091.45,,1,7645792848
2012-08-16,1078.34,1071.71,1078.04,,1,5619221032
2012-08-15,1077.49,1072.86,1075.17,,1,5806388964
2012-08-14,1083.39,1074.01,1079.46,,1,5754327968
2012-08-13,1079.55,1071.53,1077.27,,1,5499767299
2012-08-10,1082.50,1070.29,1079.52,,1,6096994077
2012-08-09,1085.28,1075.99,1083.67,,1,6033727078
2012-08-08,1079.95,1069.65,1079.95,,1,5831606251
2012-08-07,1077.96,1063.29,1075.70,,1,6822113353
2012-08-06,1082.85,1074.24,1076.44,,1,7322891420
2012-08-03,1081.26,1059.72,1081.07,,1,6807264506
2012-08-02,1079.85,1053.49,1058.10,,1,8781055350
2012-08-01,1068.99,1060.99,1065.91,,1,6262182357
2012-07-31,1071.41,1061.61,1068.16,,1,6959816936
2012-07-30,1067.89,1056.87,1066.13,,1,6183916521
2012-07-27,1061.97,1042.21,1059.75,,1,7968407004
2012-07-26,1053.52,1021.09,1048.37,,1,9368478006
2012-07-25,1034.41,1014.83,1029.30,,1,7120302750
2012-07-24,1026.36,1015.47,1021.77,,1,6338431907
2012-07-23,1033.53,1011.67,1021.81,,1,7729226533
2012-07-20,1052.76,1037.90,1041.56,,1,10293485900
2012-07-19,1051.46,1036.52,1050.71,,1,10133160424
2012-07-18,1034.09,1017.00,1032.82,,1,10439951226
2012-07-17,1041.20,1022.21,1024.44,,1,10502585668
2012-07-16,1037.80,1029.40,1037.80,,1,7037263100
2012-07-13,1033.82,1016.78,1030.94,,1,6029863067
2012-07-12,1021.78,1009.32,1013.72,,1,6468512261
2012-07-11,1029.87,1019.01,1026.12,,1,6793970801
2012-07-10,1032.76,1016.74,1028.09,,1,6170513839
2012-07-09,1025.94,1018.54,1020.44,,1,5807522802
2012-07-06,1035.52,1023.87,1023.87,,1,5922724150
2012-07-05,1048.38,1028.02,1035.87,,1,8622287014
2012-07-04,1042.32,1030.36,1038.42,,1,4519102843
2012-07-03,1040.16,1026.62,1040.16,,1,9140395666
2012-07-02,1030.62,1019.08,1024.86,,1,8447503202
2012-06-29,1019.06,998.25,1019.06,,1,10948699890
2012-06-28,996.01,971.90,979.53,,1,7541067143
2012-06-27,993.15,981.19,991.97,,1,6250915814
2012-06-26,989.90,976.39,981.64,,1,6864190641
2012-06-25,999.50,984.32,985.34,,1,8615729968
2012-06-21,1015.64,1005.18,1009.84,,1,8824736345
2012-06-20,1016.12,996.68,1014.99,,1,9886364733
2012-06-19,1000.90,980.89,1000.19,,1,8243786301
2012-06-18,992.44,971.76,981.05,,1,8040798538
2012-06-15,980.37,973.77,977.53,,1,9544508900
2012-06-14,976.03,958.27,971.66,,1,9459211603
2012-06-13,997.06,971.43,976.01,,1,12829308321
2012-06-12,988.07,976.13,987.16,,1,8005686468
2012-06-11,1002.07,981.90,982.29,,1,9084551191
2012-06-08,978.97,962.90,975.76,,1,10392566651
2012-06-07,990.57,970.49,981.95,,1,12385714076
2012-06-05,957.62,948.69,951.91,,1,5621513006
2012-06-04,956.76,941.11,946.12,,1,6062381609
2012-06-01,980.53,946.37,956.70,,1,11978182188
2012-05-31,991.49,969.16,975.98,,1,12727883360
2012-05-30,1000.02,982.63,986.61,,1,9136520883
2012-05-29,1006.91,988.75,1001.83,,1,8486929523
2012-05-28,1000.68,976.88,985.12,,1,5616707047
2012-05-25,995.52,976.26,985.03,,1,7318370035
2012-05-24,988.13,971.42,986.62,,1,6920378213
2012-05-23,992.71,973.75,974.56,,1,9668439562
2012-05-22,1004.17,984.22,1000.53,,1,10035922900
2012-05-21,977.50,955.01,975.97,,1,8155560491
2012-05-18,971.14,955.14,955.98,,1,12142769404
2012-05-16,995.23,983.25,986.94,,1,6011541375
2012-05-15,1015.51,996.36,999.22,,1,9548724255
2012-05-14,1026.07,994.75,1004.87,,1,9713768972
2012-05-11,1033.13,1018.16,1032.41,,1,7666615659
2012-05-10,1030.72,1015.76,1026.50,,1,9300542542
2012-05-09,1029.48,1006.28,1018.53,,1,9999957126
2012-05-08,1030.45,1015.47,1018.54,,1,10389788542
2012-05-07,1032.33,1011.95,1030.71,,1,6539823674
2012-05-04,1050.66,1026.03,1031.95,,1,11034112880
2012-05-03,1063.27,1049.07,1059.90,,1,10313351504
2012-05-02,1071.42,1044.87,1051.48,,1,12098535246
2012-04-30,1060.78,1053.23,1059.62,,1,6024086444
2012-04-27,1057.99,1033.52,1056.67,,1,13656821819
2012-04-26,1050.27,1029.40,1035.01,,1,12586619968
2012-04-25,1044.87,1034.57,1041.67,,1,15650600405
2012-04-24,1030.86,1015.17,1026.62,,1,13557958852
2012-04-23,1048.09,1004.57,1007.32,,1,14948940091
2012-04-20,1055.97,1037.26,1055.73,,1,10554812967
2012-04-19,1052.42,1039.64,1041.64,,1,13814377131
2012-04-18,1053.78,1033.62,1036.15,,1,11228481069
2012-04-17,1060.25,1032.67,1055.24,,1,11070442793
2012-04-16,1044.22,1021.76,1036.41,,1,8868921257
2012-04-13,1048.00,1025.41,1027.72,,1,9578470480
2012-04-12,1050.91,1024.89,1049.86,,1,11548433948
2012-04-11,1032.38,1014.29,1026.80,,1,11944731894
2012-04-10,1031.95,1013.62,1013.62,,1,10361854094
2012-04-05,1051.54,1030.94,1036.40,,1,5217445192
2012-04-04,1070.78,1036.82,1041.61,,1,13264014517
2012-04-03,1088.84,1079.56,1080.56,,1,9544690983
2012-04-02,1086.47,1064.04,1086.47,,1,9963581978
2012-03-30,1074.88,1062.67,1074.48,,1,11404139809
2012-03-29,1081.22,1054.46,1058.32,,1,13657733890
2012-03-28,1096.84,1081.27,1083.92,,1,10474171485
2012-03-27,1110.01,1093.34,1095.42,,1,9754834139
2012-03-26,1102.88,1079.94,1102.88,,1,9875000537
2012-03-23,1084.57,1068.27,1084.29,,1,9295895828
2012-03-22,1096.29,1070.64,1077.34,,1,12067163619
2012-03-21,1110.75,1085.44,1088.76,,1,12709478760
2012-03-20,1116.07,1100.73,1104.62,,1,11172497266
2012-03-19,1122.44,1114.93,1121.39,,1,9323652301
2012-03-16,1127.54,1117.10,1123.35,,1,12375990341
2012-03-15,1121.10,1112.32,1121.10,,1,10868589679
2012-03-14,1117.81,1109.57,1115.66,,1,10181541929
2012-03-13,1106.24,1098.63,1106.12,,1,8985762988
2012-03-12,1094.44,1084.38,1092.31,,1,7429898507
2012-03-09,1095.19,1083.90,1089.80,,1,10254401303
2012-03-08,1091.31,1071.62,1091.31,,1,13556958562
2012-03-07,1068.97,1054.93,1062.64,,1,10252176919
2012-03-06,1091.68,1055.48,1057.57,,1,13892499586
2012-03-05,1101.57,1091.59,1097.42,,1,8032120111
2012-03-02,1106.75,1096.91,1105.11,,1,8167410467
2012-03-01,1108.88,1092.72,1104.58,,1,9632276829
2012-02-29,1109.78,1099.23,1101.76,,1,11325047802
2012-02-28,1102.46,1092.92,1102.17,,1,9241954967
2012-02-27,1097.49,1082.25,1093.57,,1,9017933424
2012-02-24,1102.14,1091.43,1100.01,,1,10240579525
2012-02-23,1100.19,1085.33,1096.17,,1,13058517229
2012-02-22,1108.19,1087.51,1096.06,,1,13263354579
2012-02-21,1113.45,1104.56,1106.42,,1,9890626697
2012-02-20,1112.80,1100.31,1111.96,,1,9257973279
2012-02-17,1101.56,1092.19,1099.55,,1,11194017176
2012-02-16,1088.77,1071.19,1088.18,,1,10125371572
2012-02-15,1085.55,1074.32,1082.70,,1,9768183827
2012-02-14,1080.28,1067.14,1069.64,,1,9580324786
2012-02-13,1080.77,1070.39,1074.31,,1,7433737127
2012-02-10,1075.59,1058.50,1065.37,,1,11062987354
